# Table S4. Top-100 co-expression partners of Rv2516c in each of the two expression compendia used for the genome-wide, unbiased co-expression scan (3,911 genes each), ranked by Spearman correlation within each compendium. The top-50 subset used for the hypergeometric enrichment test against the four curated regulons (DosR, SigH, SigF, and the union of Rv2516c's five known upstream regulators) is flagged in the top50 column.
compendium	rank	partner_locus	product	spearman_r	p_value	q_BH	top50
GSE71200	13	Rv2340c	PE-PGRS family protein PE_PGRS39	0.4089	1.349e-05	1.508e-03	yes
GSE71200	14	Rv2093c	Sec-independent protein translocase transmembrane protein Ta	0.3991	2.257e-05	2.265e-03	yes
GSE71200	15	Rv1628c	hypothetical protein	0.3950	2.792e-05	2.616e-03	yes
GSE71200	16	Rv1227c	transmembrane protein	0.3939	2.941e-05	2.676e-03	yes
GSE71200	17	Rv1989c	hypothetical protein	0.3931	3.073e-05	2.727e-03	yes
GSE71200	18	Rv0278c	PE-PGRS family protein PE_PGRS3	0.3907	3.460e-05	2.881e-03	yes
GSE71200	19	Rv2125	hypothetical protein	0.3894	3.699e-05	2.896e-03	yes
GSE71200	20	Rv3526	3-ketosteroid-9-alpha-monooxygenase oxygenase subunit	0.3894	3.701e-05	2.896e-03	yes
GSE71200	21	Rv0340	hypothetical protein	0.3875	4.074e-05	3.066e-03	yes
GSE71200	22	Rv0275c	transcriptional regulator	0.3851	4.577e-05	3.176e-03	yes
GSE71200	23	Rv3527	hypothetical protein	0.3851	4.577e-05	3.176e-03	yes
GSE71200	24	Rv1536	isoleucine--tRNA ligase	0.3849	4.627e-05	3.176e-03	yes
GSE71200	25	Rv2515c	hypothetical protein	0.3826	5.172e-05	3.430e-03	yes
GSE71200	26	Rv1831	hypothetical protein	0.3780	6.459e-05	4.143e-03	yes
GSE71200	27	Rv0328	transcriptional regulator	0.3745	7.673e-05	4.570e-03	yes
GSE71200	28	Rv3288c	hypothetical protein	0.3714	8.881e-05	4.894e-03	yes
GSE71200	29	Rv1168c	PPE family protein PPE17	0.3711	9.014e-05	4.899e-03	yes
GSE71200	30	Rv3070	fluoride ion transporter CrcB	0.3686	1.010e-04	5.276e-03	yes
GSE71200	31	Rv1000c	hypothetical protein	0.3672	1.082e-04	5.499e-03	yes
GSE71200	32	Rv0766c	cytochrome P450 Cyp123	0.3662	1.133e-04	5.614e-03	yes
GSE71200	33	Rv0489	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0.3648	1.209e-04	5.770e-03	yes
GSE71200	34	Rv3066	DeoR family transcriptional regulator	0.3618	1.388e-04	6.465e-03	yes
GSE71200	35	Rv2558	hypothetical protein	0.3605	1.471e-04	6.695e-03	yes
GSE71200	36	Rv3065	multidrug resistance protein Mmr	0.3591	1.566e-04	7.046e-03	yes
GSE71200	37	Rv2142c	toxin ParE2	0.3560	1.803e-04	7.630e-03	yes
GSE71200	38	Rv2926c	hypothetical protein	0.3559	1.813e-04	7.630e-03	yes
GSE71200	39	Rv0753c	methylmalonate-semialdehyde dehydrogenase	0.3559	1.813e-04	7.630e-03	yes
GSE71200	40	Rv2068c	beta-lactamase	0.3530	2.058e-04	8.388e-03	yes
GSE71200	41	Rv1855c	oxidoreductase	0.3516	2.189e-04	8.514e-03	yes
GSE71200	42	Rv1909c	ferric uptake regulation protein FurA	0.3515	2.204e-04	8.514e-03	yes
GSE71200	43	Rv1378c	hypothetical protein	0.3515	2.205e-04	8.514e-03	yes
